"구분(1)",구분(2),2023,2023,2023,2023,2023,2023
"구분(1)",구분(2),사례수 (명),여전히 남성보다 낮다 (%),예전보다 높아졌지만 아직 남성보다 낮다 (%),남성과 같다 (%),남성보다 높아졌다 (%),잘 모르겠다 (%)
"남성농업인(전체)",소계,502,7.5,48.5,24.8,9.0,10.1
"여성농업인(전체)",소계,2003,6.6,57.0,20.9,5.8,9.6
"귀농여부",비귀농 여성농업인,1759,6.9,56.9,20.1,6.1,9.9
"귀농여부",여성 귀농인,244,3.8,58.0,26.8,3.7,7.7
"농업경영체 지위",경영주,460,11.3,51.4,20.3,6.4,10.5
"농업경영체 지위",공동경영주,554,4.0,72.2,11.5,3.8,8.5
"농업경영체 지위",경영주 외 농업인,989,5.8,51.1,26.6,6.7,9.9
"연령",40대 이하,125,5.5,63.5,21.1,3.3,6.5
"연령",50대,296,7.1,60.2,20.4,3.4,9.0
"연령",60대,821,5.4,57.6,22.0,6.5,8.6
"연령",70대 이상,761,7.8,54.1,20.0,6.5,11.6
"학력",중학교졸업 이하(중퇴포함),1026,5.8,57.1,21.3,6.7,9.1
"학력",고등학교졸업(중퇴포함),840,7.9,58.6,17.6,5.2,10.7
"학력",전문대학재학 이상(중퇴포함),137,3.9,46.8,38.9,3.2,7.3
"가구형태",1인가구,212,14.5,51.3,14.9,5.9,13.4
"가구형태",부부가구,1345,5.6,56.8,22.0,5.6,9.9
"가구형태",2세대 이상/기타,446,5.6,60.3,20.6,6.4,7.1
"혼인상태",미혼,11,3.0,86.0,12.0,0.0,0.0
"혼인상태",기혼,1713,5.5,58.3,21.4,5.6,9.2
"혼인상태",사별/이혼,279,13.2,48.1,18.6,7.2,12.9
"거주지",특·광역시,194,9.0,40.9,23.7,1.3,25.1
"거주지",경기,217,2.7,32.3,53.9,1.6,9.4
"거주지",강원,119,0.8,40.0,35.4,22.6,1.3
"거주지",충북,127,2.0,51.0,38.4,5.2,3.4
"거주지",충남,234,4.0,48.5,32.6,5.0,9.9
"거주지",전북,185,10.8,85.2,1.4,0.2,2.4
"거주지",전남,283,13.7,76.6,5.4,0.2,4.1
"거주지",경북,320,6.7,34.0,17.6,18.1,23.7
"거주지",경남,264,2.0,91.2,4.9,1.5,0.3
"거주지",제주,60,16.2,71.1,4.4,4.2,4.0
"영농규모",소규모,1174,7.0,56.0,20.0,4.0,13.0
"영농규모",중소규모,423,6.8,54.9,23.4,9.1,5.8
"영농규모",중대규모,285,3.5,66.0,19.8,6.9,3.7
"영농규모",대규모,121,9.7,57.8,19.7,11.8,1.0
"농업소득",500만원 미만,719,5.8,41.8,32.0,5.9,14.5
"농업소득",500만원~1000만원 미만,368,6.0,58.0,22.0,5.0,9.0
"농업소득",1000만원~1500만원 미만,166,9.8,55.7,17.0,10.0,7.5
"농업소득",1500만원 이상,647,5.6,73.3,12.3,6.1,2.6
"농업소득",잘 모름,103,15.0,58.9,0.9,0.9,24.4
